t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_1,qref_joint_1,tau_joint_1,input_sigma,input_sigma_diff
0.28200000000000003,0.0,0.0,0.2641097474431653,0.6387311308541169,0.004559042955354336,0.5340961912286883,0.6310687913397526,0.0012616068988019773,7.5,0.0
0.28400000000000003,0.0,0.0,0.2694656420245141,0.6387311308541168,0.0044954566009314184,0.5422592994709877,0.6310687913397525,0.0011636712013327695,7.499999999999999,0.0
0.28600000000000003,0.0,0.0,0.27487835078706296,0.638731130854117,0.004431185865955235,0.550421867936484,0.6310687913397526,0.0010657139024251782,7.500000000000001,0.0
0.28800000000000003,0.0,0.0,0.2803476463185946,0.6387311308541169,0.004366233360804647,0.5585815614797797,0.6310687913397526,0.0009677630808392235,7.5,0.0
0.29,0.0,0.0,0.2858732911610764,0.6387311308541169,0.004300601814426268,0.5667360504905897,0.6310687913397526,0.0008698467583196749,7.5,0.0
0.292,0.0,0.0,0.2914550376476781,0.638731130854117,0.004234294076316487,0.5748830116749463,0.6310687913397526,0.0007719928901899542,7.500000000000001,0.0
0.294,0.0,0.0,0.29709262774207407,0.6387311308541169,0.004167313118477266,0.5830201288334828,0.6310687913397526,0.0006742293559776758,7.5,0.0
0.296,0.0,0.0,0.30278579288012675,0.6387311308541169,0.004099662037344514,0.5911450936365166,0.6310687913397526,0.0005765839500752379,7.5,0.0
0.298,0.0,0.0,0.30853425381404687,0.6387311308541168,0.004031344055687881,0.5992556063956481,0.6310687913397525,0.00047908437243883076,7.499999999999999,0.0
0.3,0.0,0.0,0.31433772045912545,0.6387311308541169,0.00396236252448084,0.6073493768315975,0.6310687913397526,0.0003817582193292535,7.5,0.0
0.302,0.0,0.0,0.32019589174313134,0.6387311308541169,0.0038927209247398976,0.615424124838001,0.6310687913397526,0.0002846329740978608,7.5,0.0
0.304,0.0,0.0,0.3261084554584682,0.6387311308541169,0.0038224228693318272,0.6234775812408906,0.6310687913397526,0.0001877359980210187,7.5,0.0
0.306,0.0,0.0,0.3320750881171831,0.6387311308541169,0.0037514721047477843,0.6315074885535812,0.6310687913397526,9.109452118634387e-05,7.5,0.0
0.308,0.0,0.0,0.3380954548089182,0.6387311308541169,0.0036798725128432057,0.6395116017266944,0.6310687913397526,-5.264366565943312e-06,7.5,0.0
0.31,0.0,0.0,0.3441692090618969,0.6387311308541169,0.0036076281125423846,0.6474876888930458,0.6310687913397526,-0.00010131372464330201,7.5,0.0
0.312,0.0,0.0,0.3502959927070333,0.6387311308541169,0.0035347430615066404,0.6554335321071272,0.6310687913397526,-0.00019702677063951812,7.5,0.0
0.314,0.0,0.0,0.3564754357452548,0.6387311308541169,0.0034612216577650035,0.663346928078918,0.6310687913397526,-0.00029237688920849525,7.5,0.0
0.316,0.0,0.0,0.3627071562181244,0.6387311308541169,0.0033870683413063456,0.6712256889017588,0.6310687913397526,-0.0003873376408699856,7.5,0.0
0.318,0.0,0.0,0.3689907600818503,0.6387311308541169,0.0033122876956319107,0.6790676427740263,0.6310687913397526,-0.00048188277074407495,7.5,0.0
0.32,0.0,0.0,0.375325841084768,0.638731130854117,0.0032368844492672013,0.6868706347143484,0.6310687913397526,-0.0005759862172112849,7.500000000000001,0.0
0.322,0.0,0.0,0.38171198064837925,0.6387311308541169,0.003160863477232187,0.6946325272701025,0.6310687913397526,-0.0006696221204951498,7.5,0.0
0.324,0.0,0.0,0.3881487477520307,0.6387311308541169,0.003084229802468852,0.7023512012189407,0.6310687913397526,-0.0007627648311641991,7.5,0.0
0.326,0.0,0.0,0.3946356988213152,0.6387311308541169,0.003006988597225035,0.7100245562630909,0.6310687913397526,-0.0008553889185502572,7.5,0.0
0.328,0.0,0.0,0.40117237762027563,0.6387311308541169,0.0029291451843936204,0.7176505117161828,0.6310687913397526,-0.0009474691790800601,7.5,0.0
0.33,0.0,0.0,0.40775831514749056,0.6387311308541169,0.0028507050388060957,0.7252270071823524,0.6310687913397526,-0.0010389806445171624,7.5,0.0
0.332,0.0,0.0,0.4143930295361208,0.6387311308541169,0.0027716737884795166,0.7327520032273817,0.6310687913397526,-0.0011298985901111985,7.5,0.0
0.334,0.0,0.0,0.42107602595799226,0.6387311308541168,0.0026920572158159522,0.7402234820416307,0.6310687913397525,-0.0012201985426515502,7.499999999999999,0.0
